date,volume,tweet,sentiment,reach,tweethyp,hour,followers
1/1/2013,1,prior,neutral,62,1,7,2661
1/1/2013,1,to,neutral,47,1,16,1352
1/1/2013,1,his,negative,94,1,1,2744
1/1/2013,1,death,positive,38,1,3,4450
1/1/2013,1,on,negative,39,1,19,751
1/1/2013,1,Oct.,positive,29,1,20,251
1/1/2013,1,"5,",neutral,76,1,21,294
1/1/2013,1,"2011,",neutral,75,1,3,995
1/1/2013,1,Steve,neutral,82,1,21,1794
1/1/2013,1,Jobs,neutral,71,1,21,1668
1/1/2013,1,made,neutral,15,1,18,76
1/1/2013,1,sure,positive,23,1,1,2349
1/1/2013,1,that,negative,50,1,16,914
1/1/2013,1,the,positive,55,1,2,4970
1/1/2013,1,elevation,neutral,16,1,1,333
1/1/2013,1,of,negative,66,1,0,1630
1/1/2013,1,Tim,neutral,11,1,11,3899
1/2/2013,1,Cook—his,positive,39,1,16,383
1/2/2013,1,longtime,positive,92,1,15,623
1/2/2013,1,head,positive,91,1,13,2922
1/2/2013,1,of,negative,80,1,0,2803
1/2/2013,1,operations,negative,62,1,0,4139
1/3/2013,1,and,neutral,47,1,12,4507
1/3/2013,1,trusted,neutral,24,1,16,684
1/3/2013,1,deputy—to,negative,38,1,14,3086
1/3/2013,1,Apple,positive,56,1,18,1620
1/3/2013,1,chief,negative,30,1,14,1840
1/3/2013,1,executive,neutral,14,1,4,3502
1/3/2013,1,officer,positive,96,1,10,288
1/3/2013,1,would,neutral,61,1,15,3687
1/3/2013,1,be,negative,38,1,19,1431
1/3/2013,1,drama-free.,positive,16,1,17,3783
1/3/2013,1,“He,negative,2,1,3,4048
1/3/2013,1,"goes,",positive,61,1,1,2654
1/3/2013,1,‘I,neutral,84,1,3,591
1/3/2013,1,never,neutral,61,1,3,286
1/3/2013,1,want,positive,29,1,19,4482
1/3/2013,1,you,neutral,53,1,20,3024
1/3/2013,1,to,positive,56,1,10,1450
1/3/2013,1,ask,negative,14,1,23,17
1/3/2013,1,what,negative,31,1,1,3369
1/3/2013,1,I,positive,19,1,19,4709
1/3/2013,1,would,positive,45,1,22,446
1/4/2013,1,have,neutral,55,1,7,2275
1/4/2013,1,"done,’”",negative,34,1,8,2971
1/4/2013,1,recalls,positive,80,1,3,1692
1/4/2013,1,Cook.,negative,14,1,13,4100
1/4/2013,1,“‘Just,neutral,75,1,3,4534
1/4/2013,1,do,neutral,71,1,11,1460
1/4/2013,1,what’s,positive,91,1,18,2301
1/4/2013,1,right.’,positive,41,1,1,1195
1/4/2013,1,He,negative,69,1,23,925
1/4/2013,1,was,neutral,44,1,12,4126
1/4/2013,1,very,neutral,66,1,5,1037
1/4/2013,1,clear.”,positive,32,1,2,1765
1/4/2013,1,In,positive,63,1,22,745
1/4/2013,1,Cook’s,negative,22,1,20,4337
1/5/2013,1,first,neutral,10,1,14,4339
1/5/2013,1,16,neutral,92,1,11,2221
1/5/2013,1,months,negative,23,1,18,434
1/5/2013,1,on,positive,7,1,22,755
1/5/2013,1,the,negative,87,1,8,466
1/5/2013,1,"job,",neutral,34,1,15,1687
1/5/2013,1,Apple,positive,97,1,22,2348
1/5/2013,1,has,negative,56,1,3,4923
1/5/2013,1,released,negative,54,1,19,3514
1/5/2013,1,next-generation,positive,2,1,16,4405
1/5/2013,1,iPhones,positive,53,1,18,3573
1/5/2013,1,and,neutral,83,1,11,2697
1/5/2013,1,iPads,negative,65,1,2,1030
1/5/2013,1,and,positive,43,1,10,2533
1/5/2013,1,seen,negative,68,1,13,3573
1/5/2013,1,its,neutral,22,1,10,4680
1/5/2013,1,stock,neutral,27,1,0,1681
1/5/2013,1,price,positive,40,1,12,414
1/5/2013,1,rise,positive,20,1,23,2516
1/5/2013,1,43,negative,27,1,3,3168
1/5/2013,1,percent.,neutral,47,1,13,666
1/5/2013,1,Though,neutral,94,1,0,222
1/5/2013,1,it,positive,38,1,6,4824
1/5/2013,1,hasn’t,positive,39,1,5,596
1/5/2013,1,yet,negative,29,1,9,4809
1/5/2013,1,expanded,neutral,76,1,22,4907
1/5/2013,1,into,neutral,75,1,16,197
1/5/2013,1,new,positive,82,1,17,2353
1/5/2013,1,product,negative,71,1,6,4771
1/5/2013,1,categories,negative,15,1,23,3586
1/5/2013,1,(still,positive,23,1,20,4400
1/5/2013,1,no,positive,50,1,18,4857
1/5/2013,1,Apple,neutral,55,1,11,3266
1/5/2013,1,TV,negative,16,1,8,2652
1/5/2013,1,"set),",positive,66,1,19,2485
1/5/2013,1,the,negative,11,1,4,4188
1/5/2013,1,company,neutral,39,1,18,1090
1/5/2013,1,has,neutral,92,1,20,4777
1/6/2013,1,changed,positive,91,1,2,607
1/6/2013,1,in,positive,80,1,20,1675
1/6/2013,1,significant,negative,62,1,23,4423
1/6/2013,1,"ways,",neutral,40,1,6,3313
1/6/2013,1,largely,neutral,20,1,6,3077
1/6/2013,1,because,positive,27,1,1,1666
1/6/2013,1,of,positive,47,1,8,1403
1/6/2013,1,Cook’s,negative,94,1,7,1266
1/6/2013,1,calm,neutral,38,1,11,943
1/6/2013,1,and,neutral,39,1,19,1078
1/6/2013,1,steady,negative,29,1,15,2042
1/6/2013,1,influence.,positive,76,1,15,2193
1/6/2013,1,In,negative,75,1,11,2658
1/6/2013,1,his,neutral,82,1,21,4014
1/6/2013,1,most,neutral,71,1,16,2005
1/6/2013,1,wide-ranging,negative,15,1,0,1584
1/6/2013,1,interview,positive,23,1,17,1558
1/6/2013,1,as,positive,92,1,5,3354
1/6/2013,1,"CEO,",negative,56,1,14,306
,,,,,,15,3693
,,,,,,23,3800
,,,,,,9,227
,,,,,,18,612
,,,,,,14,2467
,,,,,,2,4303
,,,,,,3,397
,,,,,,19,2705
,,,,,,1,2278
,,,,,,20,3542
,,,,,,8,3486
,,,,,,12,4152
,,,,,,11,1493
,,,,,,18,3043
,,,,,,3,4478
,,,,,,13,2637
,,,,,,16,4449
,,,,,,12,773
,,,,,,3,97
,,,,,,23,7
,,,,,,15,2944
,,,,,,22,2683
,,,,,,6,3456
,,,,,,14,1334
,,,,,,13,862
,,,,,,2,3956
,,,,,,14,3445
,,,,,,21,473
,,,,,,15,4226
,,,,,,6,2230
,,,,,,12,4011
,,,,,,7,4428
,,,,,,11,1563
,,,,,,17,300
,,,,,,6,334
,,,,,,12,4395
,,,,,,5,4638
,,,,,,1,2946
,,,,,,10,2794
,,,,,,2,3864
,,,,,,7,2025
,,,,,,5,2757
,,,,,,0,4482
,,,,,,10,2713
,,,,,,13,1610
,,,,,,15,3684
,,,,,,15,3013
,,,,,,22,4997
,,,,,,12,4134
,,,,,,16,1144
,,,,,,10,2433
,,,,,,4,106
,,,,,,18,2771
,,,,,,8,2636
,,,,,,13,1726
,,,,,,6,313
,,,,,,2,2009
,,,,,,15,3771
,,,,,,22,1115
,,,,,,9,1246
,,,,,,21,1759
,,,,,,15,1991
,,,,,,9,2604
,,,,,,13,2704
,,,,,,2,1787
,,,,,,7,1699
,,,,,,20,2983
,,,,,,6,2241
,,,,,,2,3585
,,,,,,18,1318
,,,,,,23,2649
,,,,,,21,4536
,,,,,,15,3320
,,,,,,8,4459
,,,,,,20,4880
,,,,,,6,4074
,,,,,,17,1461
,,,,,,19,1802
,,,,,,18,1949
,,,,,,9,1028
,,,,,,14,4837
,,,,,,3,3337
,,,,,,7,168
,,,,,,7,2214
,,,,,,5,4374
,,,,,,19,4969
,,,,,,12,4725
,,,,,,1,119
,,,,,,3,2051
,,,,,,13,2634
,,,,,,18,1834
,,,,,,11,3046
,,,,,,20,1849
,,,,,,21,1307
,,,,,,19,83
,,,,,,20,3444
,,,,,,18,2151
,,,,,,0,3745
,,,,,,10,4752
,,,,,,9,227
,,,,,,18,612
,,,,,,14,2467
,,,,,,2,4303
,,,,,,3,397
,,,,,,19,2705
,,,,,,1,2278
,,,,,,20,3542
,,,,,,8,3486
,,,,,,12,4152
,,,,,,11,1493
,,,,,,18,3043
,,,,,,3,4478
,,,,,,13,2637
,,,,,,16,4449
,,,,,,12,773
,,,,,,3,97
,,,,,,23,7
,,,,,,15,2944
,,,,,,22,2683
,,,,,,6,3456
,,,,,,14,1334
,,,,,,13,862
,,,,,,2,3956
,,,,,,14,3445
,,,,,,21,473
,,,,,,15,4226
,,,,,,6,2230
,,,,,,12,4011
,,,,,,7,4428
,,,,,,11,1563
,,,,,,17,300
,,,,,,6,334
,,,,,,12,4395
,,,,,,5,4638
,,,,,,1,2946
,,,,,,10,2794
,,,,,,2,3864
,,,,,,7,2025
,,,,,,5,2757
,,,,,,0,4482
,,,,,,10,2713
,,,,,,13,1610
,,,,,,15,3684
,,,,,,15,3013
,,,,,,22,4997
,,,,,,12,4134
,,,,,,16,1144
,,,,,,10,2433
,,,,,,4,106
,,,,,,18,2771
,,,,,,8,2636
,,,,,,13,1726
,,,,,,6,313
,,,,,,2,2009
,,,,,,15,3771
,,,,,,22,1115
,,,,,,9,1246
,,,,,,21,1759
,,,,,,15,1991
,,,,,,9,2604
,,,,,,13,2704
,,,,,,2,1787
,,,,,,7,1699
,,,,,,20,2983
,,,,,,6,2241
,,,,,,2,3585
,,,,,,18,1318
,,,,,,23,2649
,,,,,,21,4536
,,,,,,15,3320
,,,,,,8,4459
,,,,,,20,4880
,,,,,,6,4074
,,,,,,17,1461
,,,,,,19,1802
,,,,,,18,1949
,,,,,,9,1028
,,,,,,14,4837
,,,,,,3,3337
,,,,,,7,168
,,,,,,7,2214
,,,,,,5,4374
,,,,,,19,4969
,,,,,,12,4725
,,,,,,1,119
,,,,,,3,2051
,,,,,,13,2634
,,,,,,18,1834
,,,,,,11,3046
,,,,,,20,1849
,,,,,,21,1307
,,,,,,19,83
,,,,,,20,3444
,,,,,,18,2151
,,,,,,0,3745
,,,,,,10,4752
