key,value,date
pos,91,03/15/12
pos,135,03/16/12
pos,136,03/17/12
pos,121,03/18/12
pos,171,03/19/12
pos,150,03/20/12
pos,278,03/21/12
pos,234,03/22/12
pos,173,03/23/12
pos,70,03/24/12
pos,43,03/25/12
pos,137,03/26/12
pos,106,03/27/12
pos,102,03/28/12
pos,258,03/29/12
pos,164,03/30/12
pos,90,03/31/12
pos,36,04/01/12
pos,153,04/02/12
pos,75,04/03/12
pos,81,04/04/12
pos,117,04/05/12
pos,154,04/06/12
pos,205,04/07/12
pos,178,04/08/12
pos,362,04/09/12
pos,157,04/10/12
pos,155,04/11/12
pos,206,04/12/12
pos,108,04/13/12
pos,58,04/14/12
pos,63,04/15/12
pos,105,04/16/12
pos,63,04/17/12
pos,135,04/18/12
pos,176,04/19/12
pos,167,04/20/12
pos,37,04/21/12
pos,72,04/22/12
pos,118,04/23/12
pos,88,04/24/12
pos,100,04/25/12
pos,121,04/26/12
pos,130,04/27/12
pos,137,04/28/12
pos,87,04/29/12
pos,325,04/30/12
pos,438,05/01/12
pos,197,05/02/12
pos,162,05/03/12
pos,53,05/04/12
pos,35,05/05/12
pos,163,05/06/12
pos,42,05/07/12
pos,54,05/08/12
pos,56,05/09/12
pos,114,05/10/12
pos,167,05/11/12
pos,64,05/12/12
pos,83,05/13/12
pos,271,05/14/12
pos,87,05/15/12
pos,151,05/16/12
pos,778,05/17/12
pos,211,05/18/12
pos,603,05/19/12
pos,106,05/20/12
pos,58,05/21/12
pos,85,05/22/12
pos,21,05/23/12
pos,86,05/24/12
pos,79,05/25/12
pos,217,05/26/12
pos,87,05/27/12
pos,42,05/28/12
pos,100,05/29/12
pos,74,05/30/12
pos,167,05/31/12
pos,173,06/01/12
pos,142,06/02/12
pos,62,06/03/12
pos,111,06/04/12
pos,70,06/05/12
pos,159,06/06/12
pos,216,06/07/12
pos,130,06/08/12
pos,90,06/09/12
pos,113,06/10/12
pos,112,06/11/12
pos,149,06/12/12
pos,142,06/13/12
pos,423,06/14/12
pos,232,06/15/12
pos,185,06/16/12
pos,164,06/17/12
pos,218,06/18/12
pos,115,06/19/12
pos,183,06/20/12
pos,212,06/21/12
pos,94,06/22/12
pos,138,06/23/12
pos,136,06/24/12
pos,187,06/25/12
pos,70,06/26/12
pos,107,06/27/12
pos,74,06/28/12
pos,30,06/29/12
pos,128,06/30/12
