key,value,date
AR,0.1,1/8/2013
AR,0.15,1/9/2013
AR,0.35,1/10/2013
AR,0.38,1/11/2013
AR,0.22,1/12/2013
AR,0.16,1/13/2013
AR,0.07,1/14/2013
AR,0.02,1/15/2013
AR,0.17,1/16/2013
AR,0.33,1/17/2013
AR,0.4,1/18/2013
AR,0.32,1/19/2013
AR,0.26,1/20/2013
AR,0.35,1/21/2013
AR,0.4,1/22/2013
AR,0.32,1/23/2013
AR,0.26,1/24/2013
AR,0.22,1/25/2013
AR,0.16,1/26/2013
AR,0.22,1/27/2013
AR,0.1,1/28/2013
DJ,0.35,1/8/2013
DJ,0.36,1/9/2013
DJ,0.37,1/10/2013
DJ,0.22,1/11/2013
DJ,0.24,1/12/2013
DJ,0.26,1/13/2013
DJ,0.34,1/14/2013
DJ,0.21,1/15/2013
DJ,0.18,1/16/2013
DJ,0.45,1/17/2013
DJ,0.32,1/18/2013
DJ,0.35,1/19/2013
DJ,0.3,1/20/2013
DJ,0.28,1/21/2013
DJ,0.27,1/22/2013
DJ,0.26,1/23/2013
DJ,0.15,1/24/2013
DJ,0.3,1/25/2013
DJ,0.35,1/26/2013
DJ,0.42,1/27/2013
DJ,0.42,1/28/2013
MS,0.21,1/8/2013
MS,0.25,1/9/2013
MS,0.27,1/10/2013
MS,0.23,1/11/2013
MS,0.24,1/12/2013
MS,0.21,1/13/2013
MS,0.35,1/14/2013
MS,0.39,1/15/2013
MS,0.4,1/16/2013
MS,0.36,1/17/2013
MS,0.33,1/18/2013
MS,0.43,1/19/2013
MS,0.4,1/20/2013
MS,0.34,1/21/2013
MS,0.28,1/22/2013
MS,0.26,1/23/2013
MS,0.37,1/24/2013
MS,0.41,1/25/2013
MS,0.46,1/26/2013
MS,0.47,1/27/2013
MS,0.41,1/28/2013
RC,0.1,1/8/2013
RC,0.15,1/9/2013
RC,0.35,1/10/2013
RC,0.38,1/11/2013
RC,0.22,1/12/2013
RC,0.16,1/13/2013
RC,0.07,1/14/2013
RC,0.02,1/15/2013
RC,0.17,1/16/2013
RC,0.33,1/17/2013
RC,0.4,1/18/2013
RC,0.32,1/19/2013
RC,0.26,1/20/2013
RC,0.35,1/21/2013
RC,0.4,1/22/2013
RC,0.32,1/23/2013
RC,0.26,1/24/2013
RC,0.22,1/25/2013
RC,0.16,1/26/2013
RC,0.22,1/27/2013
RC,0.1,1/28/2013
CG,0.1,1/8/2013
CG,0.15,1/9/2013
CG,0.35,1/10/2013
CG,0.38,1/11/2013
CG,0.22,1/12/2013
CG,0.16,1/13/2013
CG,0.07,1/14/2013
CG,0.02,1/15/2013
CG,0.17,1/16/2013
CG,0.33,1/17/2013
CG,0.4,1/18/2013
CG,0.32,1/19/2013
CG,0.26,1/20/2013
CG,0.35,1/21/2013
CG,0.4,1/22/2013
CG,0.32,1/23/2013
CG,0.26,1/24/2013
CG,0.22,1/25/2013
CG,0.16,1/26/2013
CG,0.22,1/27/2013
CG,0.1,1/28/2013
RI,0.1,1/8/2013
RI,0.15,1/9/2013
RI,0.35,1/10/2013
RI,0.38,1/11/2013
RI,0.22,1/12/2013
RI,0.16,1/13/2013
RI,0.07,1/14/2013
RI,0.02,1/15/2013
RI,0.17,1/16/2013
RI,0.33,1/17/2013
RI,0.4,1/18/2013
RI,0.32,1/19/2013
RI,0.26,1/20/2013
RI,0.35,1/21/2013
RI,0.4,1/22/2013
RI,0.32,1/23/2013
RI,0.26,1/24/2013
RI,0.22,1/25/2013
RI,0.16,1/26/2013
RI,0.22,1/27/2013
RI,0.1,1/28/2013
