key,value,date
AR,20.1,1/8/2013
AR,10.15,1/9/2013
AR,20.35,1/10/2013
AR,20.38,1/11/2013
AR,30.22,1/12/2013
AR,20.16,1/13/2013
AR,20.07,1/14/2013
AR,10.02,1/15/2013
AR,10.17,1/16/2013
AR,20.33,1/17/2013
AR,20.4,1/18/2013
AR,10.32,1/19/2013
AR,20.26,1/20/2013
AR,20.35,1/21/2013
AR,30.4,1/22/2013
AR,30.32,1/23/2013
AR,30.26,1/24/2013
AR,20.22,1/25/2013
AR,20.16,1/26/2013
AR,30.22,1/27/2013
AR,20.1,1/28/2013
DJ,10.35,1/8/2013
DJ,60.36,1/9/2013
DJ,60.37,1/10/2013
DJ,50.22,1/11/2013
DJ,40.24,1/12/2013
DJ,20.26,1/13/2013
DJ,30.34,1/14/2013
DJ,70.21,1/15/2013
DJ,20.18,1/16/2013
DJ,40.45,1/17/2013
DJ,40.32,1/18/2013
DJ,40.35,1/19/2013
DJ,30.3,1/20/2013
DJ,50.28,1/21/2013
DJ,40.27,1/22/2013
DJ,60.26,1/23/2013
DJ,40.15,1/24/2013
DJ,50.3,1/25/2013
DJ,40.35,1/26/2013
DJ,40.42,1/27/2013
DJ,40.42,1/28/2013
MS,10.21,1/8/2013
MS,20.25,1/9/2013
MS,30.27,1/10/2013
MS,30.23,1/11/2013
MS,20.24,1/12/2013
MS,30.21,1/13/2013
MS,10.35,1/14/2013
MS,20.39,1/15/2013
MS,20.4,1/16/2013
MS,20.36,1/17/2013
MS,10.33,1/18/2013
MS,40.43,1/19/2013
MS,20.4,1/20/2013
MS,10.34,1/21/2013
MS,20.28,1/22/2013
MS,20.26,1/23/2013
MS,30.37,1/24/2013
MS,30.41,1/25/2013
MS,20.46,1/26/2013
MS,30.47,1/27/2013
MS,20.41,1/28/2013
