key,value,date
AR,20.1,01/08/13
AR,10.15,01/09/13
AR,20.35,01/10/13
AR,20.38,01/11/13
AR,30.22,01/12/13
AR,20.16,01/13/13
AR,20.07,01/14/13
AR,10.02,01/15/13
AR,10.17,01/16/13
AR,20.33,01/17/13
AR,20.4,01/18/13
AR,10.32,01/19/13
AR,20.26,01/20/13
AR,20.35,01/21/13
AR,30.4,01/22/13
AR,30.32,01/23/13
AR,30.26,01/24/13
AR,20.22,01/25/13
AR,20.16,01/26/13
AR,30.22,01/27/13
AR,20.1,01/28/13
DJ,10.35,01/08/13
DJ,60.36,01/09/13
DJ,60.37,01/10/13
DJ,50.22,01/11/13
DJ,40.24,01/12/13
DJ,20.26,01/13/13
DJ,30.34,01/14/13
DJ,70.21,01/15/13
DJ,20.18,01/16/13
DJ,40.45,01/17/13
DJ,40.32,01/18/13
DJ,40.35,01/19/13
DJ,30.3,01/20/13
DJ,50.28,01/21/13
DJ,40.27,01/22/13
DJ,60.26,01/23/13
DJ,40.15,01/24/13
DJ,50.3,01/25/13
DJ,40.35,01/26/13
DJ,40.42,01/27/13
DJ,40.42,01/28/13
MS,10.21,01/08/13
MS,20.25,01/09/13
MS,30.27,01/10/13
MS,30.23,01/11/13
MS,20.24,01/12/13
MS,30.21,01/13/13
MS,10.35,01/14/13
MS,20.39,01/15/13
MS,20.4,01/16/13
MS,20.36,01/17/13
MS,10.33,01/18/13
MS,40.43,01/19/13
MS,20.4,01/20/13
MS,10.34,01/21/13
MS,20.28,01/22/13
MS,20.26,01/23/13
MS,30.37,01/24/13
MS,30.41,01/25/13
MS,20.46,01/26/13
MS,30.47,01/27/13
MS,20.41,01/28/13
