key,value,date
pos,91.00,3/15/2012
pos,135.00,3/16/2012
pos,136.00,3/17/2012
pos,121.00,3/18/2012
pos,171.00,3/19/2012
pos,150.00,3/20/2012
pos,278.00,3/21/2012
pos,234.00,3/22/2012
pos,173.00,3/23/2012
pos,70.00,3/24/2012
pos,43.00,3/25/2012
pos,137.00,3/26/2012
pos,106.00,3/27/2012
pos,102.00,3/28/2012
pos,258.00,3/29/2012
pos,164.00,3/30/2012
pos,90.00,3/31/2012
pos,36.00,4/1/2012
pos,153.00,4/2/2012
pos,75.00,4/3/2012
pos,81.00,4/4/2012
pos,117.00,4/5/2012
pos,154.00,4/6/2012
pos,205.00,4/7/2012
pos,178.00,4/8/2012
pos,362.00,4/9/2012
pos,157.00,4/10/2012
pos,155.00,4/11/2012
pos,206.00,4/12/2012
pos,108.00,4/13/2012
pos,58.00,4/14/2012
pos,63.00,4/15/2012
pos,105.00,4/16/2012
pos,63.00,4/17/2012
pos,135.00,4/18/2012
pos,176.00,4/19/2012
pos,167.00,4/20/2012
pos,37.00,4/21/2012
pos,72.00,4/22/2012
pos,118.00,4/23/2012
pos,88.00,4/24/2012
pos,100.00,4/25/2012
pos,121.00,4/26/2012
pos,130.00,4/27/2012
pos,137.00,4/28/2012
pos,87.00,4/29/2012
pos,325.00,4/30/2012
pos,438.00,5/1/2012
pos,197.00,5/2/2012
pos,162.00,5/3/2012
pos,53.00,5/4/2012
pos,35.00,5/5/2012
pos,163.00,5/6/2012
pos,42.00,5/7/2012
pos,54.00,5/8/2012
pos,56.00,5/9/2012
pos,114.00,5/10/2012
pos,167.00,5/11/2012
pos,64.00,5/12/2012
pos,83.00,5/13/2012
pos,271.00,5/14/2012
pos,87.00,5/15/2012
pos,151.00,5/16/2012
pos,778.00,5/17/2012
pos,211.00,5/18/2012
pos,603.00,5/19/2012
pos,106.00,5/20/2012
pos,58.00,5/21/2012
pos,85.00,5/22/2012
pos,21.00,5/23/2012
pos,86.00,5/24/2012
pos,79.00,5/25/2012
pos,217.00,5/26/2012
pos,87.00,5/27/2012
pos,42.00,5/28/2012
pos,100.00,5/29/2012
pos,74.00,5/30/2012
pos,167.00,5/31/2012
pos,173.00,6/1/2012
pos,142.00,6/2/2012
pos,62.00,6/3/2012
pos,111.00,6/4/2012
pos,70.00,6/5/2012
pos,159.00,6/6/2012
pos,216.00,6/7/2012
pos,130.00,6/8/2012
pos,90.00,6/9/2012
pos,113.00,6/10/2012
pos,112.00,6/11/2012
pos,149.00,6/12/2012
pos,142.00,6/13/2012
pos,423.00,6/14/2012
pos,232.00,6/15/2012
pos,185.00,6/16/2012
pos,164.00,6/17/2012
pos,218.00,6/18/2012
pos,115.00,6/19/2012
pos,183.00,6/20/2012
pos,212.00,6/21/2012
pos,94.00,6/22/2012
pos,138.00,6/23/2012
pos,136.00,6/24/2012
pos,187.00,6/25/2012
pos,70.00,6/26/2012
pos,107.00,6/27/2012
pos,74.00,6/28/2012
pos,30.00,6/29/2012
pos,128.00,6/30/2012
pos,71.00,7/1/2012
pos,202.00,7/2/2012
pos,354.00,7/3/2012
pos,63.00,7/4/2012
pos,86.00,7/5/2012
pos,126.00,7/6/2012
pos,107.00,7/7/2012
pos,104.00,7/8/2012
pos,167.00,7/9/2012
pos,139.00,7/10/2012
pos,147.00,7/11/2012
pos,144.00,7/12/2012
pos,96.00,7/13/2012
pos,80.00,7/14/2012
pos,39.00,7/15/2012
pos,113.00,7/16/2012
pos,228.00,7/17/2012
pos,119.00,7/18/2012
pos,115.00,7/19/2012
pos,132.00,7/20/2012
pos,128.00,7/21/2012
pos,130.00,7/22/2012
pos,165.00,7/23/2012
pos,61.00,7/24/2012
pos,247.00,7/25/2012
pos,102.00,7/26/2012
pos,162.00,7/27/2012
pos,131.00,7/28/2012
pos,95.00,7/29/2012
pos,123.00,7/30/2012
pos,61.00,7/31/2012
pos,220.00,8/1/2012
pos,87.00,8/2/2012
pos,95.00,8/3/2012
pos,53.00,8/4/2012
pos,73.00,8/5/2012
pos,79.00,8/6/2012
pos,139.00,8/7/2012
pos,61.00,8/8/2012
pos,314.00,8/9/2012
pos,117.00,8/10/2012
pos,100.00,8/11/2012
pos,75.00,8/12/2012
pos,81.00,8/13/2012
pos,111.00,8/14/2012
pos,75.00,8/15/2012
pos,82.00,8/16/2012
pos,40.00,8/17/2012
pos,81.00,8/18/2012
pos,144.00,8/19/2012
pos,180.00,8/20/2012
pos,100.00,8/21/2012
pos,59.00,8/22/2012
pos,102.00,8/23/2012
pos,14400.00,8/24/2012
pos,6530.00,8/25/2012
pos,1387.00,8/26/2012
pos,1058.00,8/27/2012
pos,762.00,8/28/2012
pos,728.00,8/29/2012
pos,379.00,8/30/2012
pos,518.00,8/31/2012
pos,289.00,9/1/2012
pos,579.00,9/2/2012
pos,351.00,9/3/2012
pos,236.00,9/4/2012
pos,253.00,9/5/2012
pos,140.00,9/6/2012
pos,164.00,9/7/2012
pos,141.00,9/8/2012
pos,62.00,9/9/2012
pos,152.00,9/10/2012
pos,144.00,9/11/2012
pos,193.00,9/12/2012
pos,220.00,9/13/2012
pos,172.00,9/14/2012
pos,163.00,9/15/2012
pos,734.00,9/16/2012
pos,231.00,9/17/2012
pos,315.00,9/18/2012
pos,177.00,9/19/2012
pos,135.00,9/20/2012
pos,165.00,9/21/2012
pos,120.00,9/22/2012
pos,106.00,9/23/2012
pos,87.00,9/24/2012
pos,225.00,9/25/2012
pos,164.00,9/26/2012
pos,165.00,9/27/2012
pos,82.00,9/28/2012
pos,181.00,9/29/2012
pos,164.00,9/30/2012
pos,259.00,10/1/2012
pos,680.00,10/2/2012
pos,425.00,10/3/2012
pos,156.00,10/4/2012
pos,216.00,10/5/2012
pos,91.00,10/6/2012
pos,72.00,10/7/2012
pos,463.00,10/8/2012
pos,102.00,10/9/2012
pos,1050.00,10/10/2012
pos,1369.00,10/11/2012
pos,697.00,10/12/2012
pos,423.00,10/13/2012
pos,406.00,10/14/2012
pos,395.00,10/15/2012
pos,461.00,10/16/2012
pos,6906.00,10/17/2012
pos,2796.00,10/18/2012
pos,1606.00,10/19/2012
pos,1096.00,10/20/2012
pos,721.00,10/21/2012
pos,2149.00,10/22/2012
pos,1136.00,10/23/2012
pos,1138.00,10/24/2012
pos,467.00,10/25/2012
pos,219.00,10/26/2012
pos,238.00,10/27/2012
pos,201.00,10/28/2012
pos,297.00,10/29/2012
pos,361.00,10/30/2012
pos,250.00,10/31/2012
pos,456.00,11/1/2012
pos,252.00,11/2/2012
pos,274.00,11/3/2012
pos,131.00,11/4/2012
pos,208.00,11/5/2012
pos,293.00,11/6/2012
pos,385.00,11/7/2012
pos,557.00,11/8/2012
pos,436.00,11/9/2012
pos,398.00,11/10/2012
pos,374.00,11/11/2012
pos,1022.00,11/12/2012
pos,657.00,11/13/2012
pos,302.00,11/14/2012
pos,517.00,11/15/2012
pos,754.00,11/16/2012
pos,30.00,11/17/2012
pos,179.00,11/18/2012
pos,92.00,11/19/2012
pos,182.00,11/20/2012
pos,430.00,11/21/2012
pos,177.00,11/22/2012
pos,116.00,11/23/2012
pos,133.00,11/24/2012
