key,value,date
Positive,2075,10/1/12
Positive,1714,10/2/12
Positive,1264,10/3/12
Positive,1599,10/4/12
Positive,1314,10/5/12
Positive,3896,10/6/12
Positive,749,10/7/12
Positive,1401,10/8/12
Positive,2393,10/9/12
Positive,2838,10/10/12
Positive,2351,10/11/12
Positive,2235,10/12/12
Positive,1306,10/13/12
Positive,1557,10/14/12
Positive,3989,10/15/12
Positive,3489,10/16/12
Positive,2479,10/17/12
Positive,3051,10/18/12
Positive,2658,10/19/12
Positive,1789,10/20/12
Positive,5745,10/21/12
Positive,7359,10/22/12
Positive,5376,10/23/12
Positive,4782,10/24/12
Positive,25917,10/25/12
Positive,29171,10/26/12
Positive,13032,10/27/12
Positive,8758,10/28/12
Positive,10143,10/29/12
Positive,11534,10/30/12
Neutral,16590,10/1/12
Neutral,11973,10/2/12
Neutral,9778,10/3/12
Neutral,17453,10/4/12
Neutral,14132,10/5/12
Neutral,6494,10/6/12
Neutral,4686,10/7/12
Neutral,12450,10/8/12
Neutral,16446,10/9/12
Neutral,21212,10/10/12
Neutral,15808,10/11/12
Neutral,28176,10/12/12
Neutral,11803,10/13/12
Neutral,8501,10/14/12
Neutral,25255,10/15/12
Neutral,22645,10/16/12
Neutral,15936,10/17/12
Neutral,18319,10/18/12
Neutral,19465,10/19/12
Neutral,11974,10/20/12
Neutral,12785,10/21/12
Neutral,42959,10/22/12
Neutral,35730,10/23/12
Neutral,28856,10/24/12
Neutral,113011,10/25/12
Neutral,124428,10/26/12
Neutral,56682,10/27/12
Neutral,38231,10/28/12
Neutral,50221,10/29/12
Neutral,52758,10/30/12
Negative,455,10/1/12
Negative,410,10/2/12
Negative,346,10/3/12
Negative,425,10/4/12
Negative,401,10/5/12
Negative,226,10/6/12
Negative,259,10/7/12
Negative,319,10/8/12
Negative,746,10/9/12
Negative,1612,10/10/12
Negative,814,10/11/12
Negative,937,10/12/12
Negative,549,10/13/12
Negative,474,10/14/12
Negative,1209,10/15/12
Negative,1468,10/16/12
Negative,904,10/17/12
Negative,833,10/18/12
Negative,951,10/19/12
Negative,650,10/20/12
Negative,756,10/21/12
Negative,2665,10/22/12
Negative,2601,10/23/12
Negative,1600,10/24/12
Negative,5940,10/25/12
Negative,9735,10/26/12
Negative,5571,10/27/12
Negative,3256,10/28/12
Negative,3751,10/29/12
Negative,3915,10/30/12
