key,value,date
All,19120,10/1/12
All,14097,10/2/12
All,11388,10/3/12
All,19477,10/4/12
All,15847,10/5/12
All,10616,10/6/12
All,5694,10/7/12
All,14170,10/8/12
All,19585,10/9/12
All,25662,10/10/12
All,18973,10/11/12
All,31348,10/12/12
All,13658,10/13/12
All,10532,10/14/12
All,30453,10/15/12
All,27602,10/16/12
All,19319,10/17/12
All,22203,10/18/12
All,23074,10/19/12
All,14413,10/20/12
All,19286,10/21/12
All,52983,10/22/12
All,43707,10/23/12
All,35238,10/24/12
All,144868,10/25/12
All,163334,10/26/12
All,75285,10/27/12
All,50245,10/28/12
All,64115,10/29/12
All,68207,10/30/12
